@relation dataset

@attribute buying {vhigh, high, med, low}
@attribute maint {vhigh, high, med, low}
@attribute doors {2, 3, 4, 5more}
@attribute persons {2, 4, more}
@attribute lug_boot {small, med, big}
@attribute safety {low, med, high}
@attribute class {unacc, acc, good, vgood}


@data
?,?,?,?,med,high,?
vhigh,?,5more,?,big,?,?
vhigh,?,?,more,?,?,unacc
?,?,?,?,?,?,?
?,?,2,?,?,low,?
?,?,2,2,small,med,unacc
vhigh,?,?,2,?,high,unacc
?,?,2,?,?,low,unacc
?,?,?,2,?,?,unacc
vhigh,?,?,?,?,high,?
vhigh,?,?,2,?,?,?
?,?,?,?,big,med,?
?,high,?,?,?,?,unacc
vhigh,high,2,?,?,low,unacc
vhigh,high,2,4,?,?,?
vhigh,?,?,?,small,high,?
vhigh,?,2,?,?,?,?
?,?,?,4,?,?,unacc
vhigh,high,2,?,?,?,?
vhigh,high,?,?,?,low,?
vhigh,high,?,?,big,med,unacc
?,?,2,?,?,high,?
?,high,?,more,?,low,unacc
?,?,?,?,?,?,?
?,?,?,more,?,?,?
vhigh,?,?,?,?,?,unacc
vhigh,?,2,?,?,med,?
?,high,?,?,med,?,?
vhigh,?,?,more,big,?,?
vhigh,?,?,?,?,?,?
?,?,2,?,big,?,unacc
?,high,?,2,small,low,unacc
vhigh,?,?,?,?,?,unacc
vhigh,?,3,?,?,?,?
vhigh,high,3,?,med,low,unacc
?,?,?,2,med,?,?
?,?,3,2,?,?,unacc
vhigh,high,?,?,?,low,unacc
vhigh,high,?,?,?,?,unacc
?,?,3,?,big,?,unacc
?,high,3,?,?,?,?
?,high,?,4,?,?,unacc
vhigh,?,?,4,?,high,?
vhigh,?,3,4,med,?,?
vhigh,?,3,4,?,?,?
vhigh,?,?,?,med,?,?
vhigh,?,?,4,?,low,unacc
?,?,?,4,big,med,?
?,?,?,4,big,high,?
?,high,3,more,small,low,unacc
?,high,?,?,?,?,?
vhigh,high,?,?,small,?,unacc
?,high,?,?,?,?,?
?,high,3,?,?,?,unacc
?,?,3,more,med,?,unacc
?,?,?,more,big,?,?
?,?,3,?,big,?,unacc
?,?,?,more,big,?,unacc
vhigh,?,?,2,?,?,?
vhigh,high,?,?,?,?,?
vhigh,?,?,?,?,?,unacc
?,?,?,2,?,low,unacc
?,high,4,?,med,med,?
?,high,?,2,?,high,?
?,?,?,2,big,?,?
?,?,?,2,?,?,?
vhigh,high,?,?,?,?,?
?,?,4,4,small,?,unacc
?,high,4,?,small,?,unacc
vhigh,?,?,4,?,high,?
?,?,?,?,med,?,unacc
?,high,4,?,med,?,?
?,?,?,?,?,?,?
vhigh,?,4,4,big,low,?
?,high,4,?,?,?,unacc
?,?,?,?,?,high,unacc
vhigh,?,?,?,?,low,unacc
?,high,4,more,?,?,?
?,high,4,?,?,high,?
vhigh,?,?,?,med,low,?
?,?,?,?,?,?,?
?,?,4,?,med,high,?
?,?,?,more,big,low,?
vhigh,high,?,more,big,?,?
?,?,?,more,?,?,unacc
?,?,?,?,small,low,?
?,?,?,?,?,med,unacc
vhigh,?,?,?,?,?,?
?,high,?,2,med,low,unacc
?,high,5more,?,med,?,unacc
vhigh,?,?,?,?,?,?
vhigh,?,?,2,?,?,?
?,high,5more,2,?,med,?
vhigh,high,?,2,big,?,?
?,?,5more,?,?,?,?
?,?,?,4,?,?,?
vhigh,?,5more,4,small,?,?
?,high,5more,4,med,low,unacc
vhigh,?,?,?,?,?,?
?,?,?,4,?,?,?
?,high,5more,?,?,?,?
vhigh,?,5more,?,big,?,unacc
vhigh,high,5more,4,?,?,unacc
?,?,?,more,?,?,?
vhigh,high,?,?,?,?,unacc
?,?,?,?,?,high,unacc
vhigh,high,?,?,?,low,?
?,?,?,more,med,?,?
?,high,?,?,med,?,unacc
?,high,5more,more,?,?,?
?,?,5more,more,?,?,unacc
?,high,?,?,?,high,?
vhigh,?,2,?,?,?,?
?,med,?,?,small,?,?
?,?,?,?,?,high,?
?,med,2,2,?,?,unacc
?,med,2,?,med,?,?
?,med,2,2,?,high,unacc
?,?,?,?,?,?,?
?,?,?,2,big,med,?
vhigh,?,?,?,big,high,unacc
vhigh,?,?,?,?,?,?
?,?,?,?,small,?,?
?,?,?,?,small,high,?
?,?,?,4,med,?,?
vhigh,med,2,?,?,?,unacc
vhigh,med,2,?,med,?,?
?,?,?,?,big,?,?
?,?,2,4,?,?,?
vhigh,?,?,?,big,high,?
?,med,2,?,?,low,unacc
?,?,?,more,?,med,?
vhigh,?,2,more,?,?,?
?,?,2,more,med,?,unacc
vhigh,?,?,more,med,?,?
vhigh,?,2,?,?,?,acc
?,?,?,?,?,?,?
?,?,2,more,big,med,?
?,?,?,more,big,?,acc
?,?,?,2,small,?,?
?,?,3,2,?,med,unacc
?,med,3,?,?,?,unacc
?,med,3,?,?,low,?
vhigh,?,?,2,?,?,?
vhigh,med,3,?,?,?,unacc
?,?,?,2,?,low,unacc
vhigh,med,3,?,?,?,unacc
vhigh,?,3,?,?,?,?
?,med,3,4,?,low,unacc
vhigh,?,?,?,small,med,?
?,med,?,?,?,?,acc
?,med,?,?,med,?,unacc
vhigh,med,?,?,?,?,?
vhigh,med,3,4,?,?,?
?,?,?,?,?,low,unacc
?,med,3,?,?,med,?
vhigh,?,?,4,?,high,?
vhigh,?,?,?,?,low,unacc
?,?,?,?,?,med,?
?,med,3,?,?,high,?
vhigh,?,?,?,?,?,?
vhigh,med,?,?,?,med,?
?,?,?,more,?,high,?
?,?,3,?,?,low,unacc
?,?,3,?,?,?,acc
?,?,3,?,?,?,acc
vhigh,?,4,2,?,low,unacc
?,?,?,2,?,?,?
vhigh,med,?,?,?,?,?
vhigh,med,?,2,?,low,unacc
?,?,4,?,?,?,unacc
vhigh,?,?,2,med,?,unacc
?,?,4,?,big,low,unacc
?,med,?,?,big,?,?
?,?,?,2,?,?,?
?,?,4,?,small,low,?
?,?,?,?,small,med,?
?,?,?,?,?,?,?
vhigh,med,4,4,?,low,?
?,?,?,?,?,?,acc
vhigh,med,4,?,?,?,?
?,med,?,?,?,low,?
?,?,?,?,?,?,?
vhigh,?,?,4,big,?,acc
?,med,?,?,?,?,?
?,?,4,?,?,?,unacc
?,?,?,more,small,high,acc
?,?,?,more,med,low,?
?,med,4,?,?,?,?
?,?,?,more,med,high,acc
vhigh,med,4,?,big,?,?
?,?,4,?,?,?,?
?,med,4,?,?,?,?
?,med,5more,?,?,?,unacc
?,?,5more,?,small,med,unacc
?,?,?,2,?,high,unacc
vhigh,?,5more,2,?,low,unacc
?,med,5more,2,med,?,?
vhigh,med,?,?,med,high,?
vhigh,med,?,?,?,?,?
?,?,5more,?,big,?,unacc
vhigh,?,?,?,big,?,?
vhigh,?,5more,?,small,?,?
?,med,?,4,?,?,?
?,?,?,?,?,?,?
?,?,?,4,med,?,?
vhigh,?,?,?,?,med,acc
?,med,5more,4,?,?,?
vhigh,med,?,?,big,low,?
?,?,?,4,big,?,acc
?,med,5more,4,?,?,acc
?,?,5more,more,?,?,?
?,?,?,more,?,med,unacc
?,med,?,?,?,?,?
vhigh,?,?,?,?,low,unacc
vhigh,med,5more,more,med,med,acc
vhigh,med,?,?,?,?,acc
?,med,?,more,?,?,?
?,?,5more,?,?,?,?
vhigh,?,5more,more,?,high,acc
vhigh,?,2,2,small,?,?
vhigh,?,2,?,?,med,?
vhigh,low,?,?,small,?,?
?,?,?,?,?,?,?
vhigh,low,2,2,med,med,?
?,?,?,?,med,high,unacc
vhigh,?,?,?,big,?,?
vhigh,low,?,?,big,?,unacc
?,?,2,?,?,?,?
vhigh,?,?,?,small,?,unacc
vhigh,low,?,?,?,?,unacc
?,low,2,4,?,?,acc
vhigh,?,2,?,?,low,unacc
?,?,?,4,med,?,?
vhigh,?,2,?,med,high,?
?,low,2,?,?,?,?
vhigh,low,?,4,?,?,?
?,?,?,4,?,?,acc
vhigh,?,?,?,?,low,?
?,?,?,?,?,?,unacc
vhigh,low,?,?,?,?,?
vhigh,?,?,?,?,low,unacc
vhigh,low,?,?,?,?,unacc
vhigh,low,?,more,?,?,acc
vhigh,?,2,?,big,low,?
?,?,?,more,big,med,?
?,?,?,?,?,?,acc
vhigh,low,?,?,small,?,unacc
?,?,?,?,small,med,?
?,?,?,?,?,high,?
vhigh,?,?,?,med,?,unacc
vhigh,low,?,?,med,med,unacc
?,low,3,?,?,high,unacc
vhigh,low,?,2,?,?,?
vhigh,low,?,?,?,?,?
?,?,?,?,?,?,unacc
?,?,3,4,small,low,?
?,low,?,4,?,med,?
vhigh,?,?,4,small,high,?
?,?,?,?,med,?,?
vhigh,?,?,?,med,med,?
?,low,3,4,?,?,acc
vhigh,?,3,4,?,low,?
vhigh,low,3,?,?,med,?
?,?,3,4,?,?,acc
?,?,?,?,small,low,?
?,?,?,more,small,med,?
?,?,?,?,small,?,?
?,low,?,?,?,?,unacc
?,?,3,?,?,med,?
vhigh,?,3,more,med,high,?
?,?,3,?,?,?,?
?,?,?,?,?,?,?
vhigh,?,?,?,big,?,acc
?,?,4,?,small,?,unacc
vhigh,low,?,2,?,?,?
vhigh,?,?,?,?,high,?
?,low,?,2,?,?,?
?,low,4,2,?,?,?
?,?,?,2,?,high,unacc
vhigh,?,?,?,?,?,?
?,?,?,2,?,?,?
?,?,4,?,?,high,?
?,?,4,?,?,low,?
vhigh,low,?,4,small,?,unacc
?,?,4,4,?,?,acc
?,?,?,4,med,low,?
?,low,?,?,?,?,?
?,low,?,4,med,high,acc
?,low,?,4,?,low,?
?,?,4,?,big,?,?
?,low,?,?,?,high,?
vhigh,?,?,?,small,low,?
vhigh,?,4,?,small,?,unacc
vhigh,?,4,more,small,?,?
vhigh,?,4,?,med,?,unacc
?,?,4,?,?,med,?
?,?,?,?,?,?,acc
?,?,4,more,?,low,?
?,?,?,?,?,med,?
?,low,?,more,?,high,acc
vhigh,low,5more,?,small,low,?
vhigh,low,?,?,?,med,unacc
vhigh,low,?,?,small,?,unacc
?,?,5more,2,med,?,unacc
?,?,5more,?,?,?,?
?,low,?,?,?,?,unacc
?,?,?,2,?,?,unacc
?,?,?,2,?,med,?
?,?,?,?,?,?,?
?,?,?,4,small,low,?
vhigh,?,?,?,small,?,?
?,?,5more,4,?,?,acc
?,?,5more,?,med,?,?
?,low,?,?,med,?,acc
vhigh,?,?,?,?,high,acc
?,?,?,?,?,low,?
?,low,?,?,?,med,acc
?,?,?,4,?,?,?
?,low,5more,?,small,?,unacc
vhigh,?,?,?,?,?,?
?,?,5more,?,small,?,?
vhigh,?,?,more,?,?,unacc
?,low,?,more,med,?,?
vhigh,low,5more,?,?,?,acc
vhigh,?,?,more,?,?,?
?,low,?,?,big,?,?
?,low,?,more,?,?,?
?,?,2,?,?,low,?
?,?,?,?,small,?,?
?,vhigh,?,?,?,?,?
?,?,?,2,?,low,unacc
?,?,?,?,?,med,unacc
?,vhigh,?,?,med,high,?
?,?,?,?,big,?,?
high,?,2,?,big,med,?
high,?,?,2,?,?,unacc
?,vhigh,?,4,small,?,unacc
?,vhigh,?,?,?,?,?
high,?,?,?,small,high,?
high,?,?,?,?,low,?
?,?,2,4,med,?,?
high,vhigh,?,?,med,?,?
?,?,?,4,big,low,unacc
?,?,2,4,?,?,?
?,?,2,?,big,?,unacc
?,vhigh,?,more,small,low,unacc
high,vhigh,?,?,small,?,unacc
?,?,?,more,?,high,?
high,?,?,more,?,?,?
high,?,2,more,?,?,unacc
high,?,2,more,med,?,?
?,vhigh,2,?,big,?,unacc
?,vhigh,?,more,?,med,unacc
?,vhigh,2,more,?,?,unacc
high,vhigh,?,?,small,low,unacc
?,?,3,?,small,?,?
?,?,?,?,small,high,?
?,?,3,?,med,?,?
?,vhigh,?,?,?,?,?
?,?,3,?,med,?,?
?,?,?,?,?,?,?
high,vhigh,3,?,?,med,?
?,vhigh,?,2,big,high,?
high,vhigh,3,?,?,low,?
?,?,3,4,?,?,unacc
?,vhigh,3,?,?,high,?
high,?,3,?,?,?,?
?,vhigh,?,?,med,?,?
?,?,?,?,?,high,unacc
?,vhigh,?,?,big,low,?
?,?,3,?,?,med,?
high,vhigh,3,4,?,?,?
high,?,?,?,?,?,unacc
?,?,?,?,?,med,unacc
?,vhigh,?,?,small,?,?
high,?,?,more,?,?,?
high,?,3,more,?,?,?
?,?,?,?,?,?,unacc
high,?,3,?,big,low,?
?,?,?,?,?,?,unacc
?,vhigh,?,?,big,?,?
high,?,?,?,?,low,?
?,vhigh,?,?,small,?,?
high,?,?,?,?,?,?
?,vhigh,?,?,med,low,?
high,?,4,2,med,med,?
high,vhigh,?,?,?,high,?
?,vhigh,?,2,big,low,unacc
?,?,4,?,?,?,?
?,vhigh,4,?,?,high,?
high,vhigh,?,?,?,?,unacc
?,?,?,?,small,?,?
high,?,4,?,?,high,unacc
high,vhigh,?,?,?,low,?
high,vhigh,?,?,?,?,unacc
high,?,?,?,?,?,?
high,?,?,?,?,?,unacc
high,?,?,?,?,?,?
?,?,?,?,big,?,unacc
high,?,?,?,?,?,?
?,?,?,more,?,?,unacc
?,vhigh,?,more,?,?,?
?,?,?,?,?,?,?
?,?,?,more,med,?,?
?,vhigh,?,?,med,high,unacc
?,?,?,more,?,low,unacc
?,vhigh,?,?,?,?,?
high,?,4,?,?,?,?
?,vhigh,5more,?,?,low,unacc
high,?,5more,2,?,med,unacc
?,?,5more,2,?,?,?
high,?,5more,2,?,low,?
high,vhigh,?,2,?,med,?
high,?,5more,?,?,high,?
?,vhigh,5more,2,?,?,?
?,?,?,?,?,med,?
high,vhigh,5more,?,?,high,unacc
high,vhigh,5more,4,small,low,unacc
high,?,5more,?,?,med,unacc
high,?,5more,4,?,high,unacc
high,?,5more,?,med,low,?
high,vhigh,5more,?,?,med,?
?,vhigh,5more,?,med,high,unacc
?,vhigh,5more,?,?,?,unacc
?,vhigh,5more,?,?,?,unacc
?,?,?,?,big,?,?
high,?,?,more,small,?,unacc
?,?,5more,?,small,?,?
?,vhigh,5more,more,?,?,?
?,vhigh,?,more,?,?,unacc
high,?,?,?,?,?,unacc
?,?,?,more,?,?,?
?,?,5more,?,?,?,?
high,?,5more,more,?,?,unacc
?,?,?,more,?,?,?
?,?,2,?,small,low,?
?,?,?,?,?,?,?
?,high,?,?,?,?,?
?,?,?,?,med,?,?
high,?,?,?,?,med,unacc
?,?,2,?,?,high,?
?,?,2,?,?,low,unacc
?,high,?,?,?,?,unacc
?,?,?,?,?,?,unacc
high,?,?,?,small,?,?
high,?,?,4,?,?,?
high,?,?,4,?,high,?
?,?,?,?,med,?,unacc
?,?,?,?,?,?,?
?,high,2,?,?,?,?
?,high,2,?,?,?,unacc
?,?,2,?,big,?,?
?,?,?,?,?,?,?
high,?,?,?,?,?,unacc
high,?,?,?,?,?,?
high,high,2,?,small,?,?
?,high,?,?,?,?,?
?,?,?,?,?,med,unacc
?,?,2,?,?,?,?
?,high,?,?,?,?,unacc
high,?,2,more,?,med,?
high,?,?,?,?,?,?
high,?,?,2,?,low,?
high,high,?,?,?,med,unacc
?,high,?,?,small,high,unacc
high,high,?,?,med,?,?
?,?,?,2,?,?,?
?,high,3,?,?,?,?
?,?,3,2,?,?,unacc
?,high,?,2,?,?,unacc
high,?,?,2,?,high,unacc
?,?,?,4,small,?,?
high,high,?,?,?,?,unacc
?,?,?,?,small,?,?
?,high,?,4,med,low,?
high,?,3,?,?,?,unacc
?,high,3,4,?,?,acc
high,?,?,4,?,?,unacc
?,high,3,4,?,med,?
?,?,?,4,big,high,?
high,?,?,more,small,?,unacc
?,high,3,?,?,?,?
high,high,?,more,small,high,?
?,?,?,more,?,?,unacc
?,?,?,?,?,?,acc
high,high,3,more,med,high,acc
high,?,?,?,big,low,?
?,high,?,more,?,?,acc
?,?,?,more,big,?,?
?,?,4,?,small,low,unacc
high,?,4,2,?,?,?
?,?,4,?,?,?,?
?,?,?,?,med,?,?
?,high,?,2,?,?,unacc
?,?,4,?,med,?,?
high,?,?,2,?,?,?
?,?,?,2,?,med,?
?,high,?,?,?,?,unacc
high,?,?,?,?,?,?
?,?,4,4,?,med,?
high,high,4,4,?,?,acc
high,?,4,4,?,?,unacc
?,?,?,4,?,?,?
?,high,4,?,?,?,?
?,?,?,?,big,?,?
?,high,4,?,?,med,?
?,high,?,4,?,high,?
?,?,?,more,?,?,unacc
high,?,4,?,small,med,?
high,?,?,?,?,high,?
high,high,?,?,?,low,unacc
?,high,4,?,?,med,acc
?,?,4,?,?,high,?
high,?,?,?,?,low,?
?,?,4,more,big,?,?
?,high,?,more,big,?,acc
high,?,?,?,small,low,?
high,?,?,?,?,?,?
?,high,?,?,?,high,unacc
high,?,?,?,?,?,unacc
?,?,?,2,?,?,?
high,high,?,2,med,?,unacc
?,high,?,?,?,?,unacc
high,?,?,?,?,med,?
?,?,5more,?,big,high,?
?,high,?,4,?,low,unacc
?,high,?,?,small,med,?
?,?,5more,4,?,?,?
?,?,?,4,?,?,?
?,?,?,?,med,?,acc
high,?,5more,?,?,high,?
?,?,5more,4,big,low,?
?,?,?,?,?,?,?
high,?,?,?,big,?,acc
?,high,5more,more,?,?,unacc
?,?,5more,?,?,med,?
high,high,?,more,?,?,acc
high,?,?,?,?,?,?
high,?,?,?,med,med,?
high,?,5more,?,?,high,?
?,high,?,?,?,low,unacc
?,high,5more,?,?,?,acc
high,?,?,?,?,?,?
?,med,?,?,?,low,?
high,?,?,2,small,?,?
?,?,?,2,small,high,?
?,?,2,2,med,?,unacc
?,?,?,2,med,med,?
?,?,?,2,med,?,unacc
?,med,?,2,?,?,?
?,med,?,2,?,?,unacc
?,?,?,?,?,?,unacc
high,?,2,4,small,low,unacc
?,?,?,4,small,?,?
?,med,?,4,?,?,acc
?,med,?,?,med,low,?
?,?,2,4,?,med,?
?,?,?,?,?,?,?
?,?,2,?,?,low,?
high,?,2,4,big,?,?
?,med,2,?,?,?,acc
high,med,?,more,?,low,unacc
high,?,?,?,?,med,unacc
high,?,2,?,small,?,unacc
high,med,2,more,med,?,?
high,?,?,more,?,med,?
?,?,2,more,?,?,acc
?,?,2,more,big,?,unacc
high,med,2,?,big,?,?
?,med,?,?,big,high,?
?,med,3,?,?,?,unacc
?,med,?,?,small,med,?
high,?,?,2,small,high,?
high,?,?,?,med,?,?
high,?,?,?,?,?,?
?,?,?,2,?,?,unacc
high,?,?,?,?,low,unacc
?,med,?,?,?,med,unacc
?,?,?,?,?,?,unacc
?,?,?,?,small,?,?
?,med,?,?,?,?,unacc
high,?,3,?,small,high,?
?,med,3,?,med,?,?
?,med,?,?,?,?,?
high,med,?,?,?,high,?
high,?,?,?,?,?,?
?,med,3,?,?,?,?
?,?,?,?,?,high,?
high,?,3,?,?,?,?
?,?,3,?,?,med,?
?,med,3,?,?,high,?
high,?,3,?,?,?,unacc
?,?,?,?,med,?,acc
high,?,?,?,?,high,acc
high,med,3,more,?,?,unacc
high,med,?,?,?,?,?
high,?,?,?,?,?,?
?,?,?,2,?,?,unacc
?,med,?,?,?,med,unacc
?,?,?,?,small,high,?
high,?,?,?,med,low,unacc
high,?,4,?,med,?,?
?,?,?,?,med,?,unacc
?,med,4,2,?,low,?
high,?,?,?,?,med,?
high,?,?,2,big,?,?
?,med,4,?,?,?,unacc
?,med,4,?,?,?,unacc
?,?,4,?,small,?,acc
high,med,?,?,med,?,?
?,?,?,?,med,?,acc
high,?,?,4,?,high,?
high,?,?,?,big,low,unacc
high,?,?,4,?,?,acc
high,?,4,?,?,high,?
high,med,4,more,?,?,?
?,?,4,more,small,?,?
?,?,4,?,?,high,?
high,?,?,more,med,low,?
?,?,4,?,?,?,acc
high,med,4,?,?,?,?
?,?,?,?,?,?,?
high,?,4,?,big,?,acc
?,?,?,?,big,?,?
high,?,?,2,?,?,?
?,med,5more,?,?,?,?
high,?,?,2,?,?,?
?,?,5more,?,?,low,unacc
?,med,?,2,med,med,unacc
high,?,?,2,?,?,?
high,med,5more,?,big,low,?
high,?,5more,2,?,med,?
high,?,5more,2,big,?,unacc
?,?,?,?,?,low,?
high,?,?,4,small,?,?
high,med,?,?,small,?,?
?,med,?,?,?,?,?
?,?,?,?,med,med,acc
high,?,5more,?,?,?,?
high,?,?,?,big,low,unacc
high,med,?,?,?,?,?
?,?,5more,?,?,?,acc
?,?,5more,?,small,?,?
?,?,5more,more,small,?,unacc
?,med,5more,more,?,?,acc
?,?,5more,?,med,?,unacc
?,?,5more,more,?,med,acc
?,?,5more,?,med,?,acc
?,med,?,?,big,low,?
?,med,?,?,?,med,?
?,med,?,more,?,?,acc
high,?,2,?,?,low,?
?,low,?,?,?,?,unacc
?,low,?,2,small,high,unacc
?,low,2,2,?,low,?
?,low,?,?,?,med,unacc
?,low,?,?,med,?,unacc
?,?,2,?,big,?,?
?,low,2,2,?,?,unacc
?,?,?,?,?,?,?
?,low,?,?,?,low,unacc
high,low,?,?,?,?,?
high,?,?,4,small,?,?
high,?,2,?,?,low,?
?,low,?,4,?,med,unacc
?,?,?,?,?,high,acc
high,?,?,4,big,?,?
?,low,?,?,big,med,?
?,low,?,4,?,?,?
?,?,?,more,small,low,?
?,?,?,more,?,med,unacc
?,?,?,more,?,?,?
?,?,2,more,med,low,?
?,low,?,more,?,med,?
?,low,2,?,?,?,acc
?,?,?,?,?,?,unacc
?,?,?,more,big,?,?
?,?,?,more,?,high,?
high,?,?,2,small,?,unacc
?,?,?,?,small,?,?
?,?,?,2,?,high,?
high,low,3,?,?,?,unacc
high,?,?,?,med,?,unacc
?,?,?,?,?,?,?
?,low,?,?,big,?,unacc
high,low,3,2,big,med,?
high,low,?,2,big,high,?
high,low,?,?,small,?,unacc
?,?,3,?,?,med,?
high,?,?,?,small,high,acc
?,low,3,?,med,?,?
?,low,?,?,?,?,unacc
high,low,?,?,med,?,?
?,low,3,?,?,?,unacc
?,?,3,?,big,?,?
?,?,3,4,?,high,acc
?,?,?,?,small,?,unacc
high,?,?,more,small,?,unacc
high,low,?,?,?,?,?
high,?,3,more,med,?,unacc
high,?,?,more,?,?,?
high,?,?,?,?,?,?
?,?,3,?,big,?,?
high,low,?,?,?,?,acc
high,?,?,?,?,?,acc
high,low,?,?,small,?,?
?,?,?,2,small,?,unacc
?,low,4,?,small,?,?
high,?,4,2,med,?,?
?,?,4,?,?,med,?
high,low,4,2,?,high,?
high,low,4,?,?,?,?
?,low,4,?,big,med,?
?,?,4,2,big,?,unacc
?,?,4,4,small,low,unacc
high,?,4,?,?,?,unacc
?,?,?,?,small,?,acc
high,low,?,?,med,low,unacc
high,?,?,4,med,med,?
high,low,?,?,med,high,?
high,low,?,?,big,?,?
high,?,4,?,?,med,?
?,low,?,4,?,high,?
?,?,?,more,small,?,unacc
?,low,?,?,small,med,unacc
?,low,?,?,small,?,acc
high,?,?,?,?,low,?
?,?,4,?,med,med,acc
?,low,?,?,med,?,?
?,?,4,?,?,?,?
?,?,?,more,?,?,acc
high,?,?,more,big,high,acc
?,?,?,2,?,?,unacc
high,?,?,2,small,med,?
?,low,?,2,?,high,?
?,low,5more,2,?,?,?
high,low,?,?,?,?,?
high,low,?,?,med,high,?
?,?,?,2,?,?,?
?,?,5more,?,?,med,unacc
?,?,?,?,?,high,?
high,?,?,4,small,low,?
?,low,5more,?,?,?,?
?,low,5more,4,?,?,acc
high,low,?,?,med,?,unacc
?,?,?,?,med,?,?
?,low,?,?,?,?,?
?,low,?,?,big,low,unacc
high,low,5more,?,?,?,?
?,low,5more,?,?,?,acc
high,?,?,more,small,?,unacc
high,low,?,more,?,med,unacc
?,?,?,more,?,?,?
high,?,5more,more,med,low,?
?,low,5more,?,?,med,?
?,?,?,?,?,high,acc
?,low,?,more,?,?,?
?,low,?,more,?,med,acc
high,?,5more,more,big,?,?
?,?,?,?,?,?,unacc
?,?,2,2,?,?,?
?,?,?,2,?,high,?
med,?,?,?,med,?,unacc
med,vhigh,?,2,?,med,unacc
?,?,?,?,?,?,?
?,?,?,?,?,?,unacc
?,?,?,2,?,med,?
med,vhigh,2,?,?,high,?
